ACC_X,ACC_Y,ACC_Z,start_time_unix,sampling_rate
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,10,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,10,57,1626193513.0,32.000000
-28,10,58,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,58,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-28,10,58,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,10,58,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,10,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-30,9,58,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,58,1626193513.0,32.000000
-28,10,58,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-28,9,58,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-27,8,58,1626193513.0,32.000000
-28,8,58,1626193513.0,32.000000
-28,8,58,1626193513.0,32.000000
-28,8,58,1626193513.0,32.000000
-28,8,57,1626193513.0,32.000000
-28,8,58,1626193513.0,32.000000
-29,7,57,1626193513.0,32.000000
-28,9,57,1626193513.0,32.000000
-29,8,57,1626193513.0,32.000000
-29,8,57,1626193513.0,32.000000
-29,8,57,1626193513.0,32.000000
-30,8,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,58,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,10,57,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-32,9,56,1626193513.0,32.000000
-32,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-33,10,57,1626193513.0,32.000000
-33,8,56,1626193513.0,32.000000
-27,8,58,1626193513.0,32.000000
-32,10,56,1626193513.0,32.000000
-30,10,57,1626193513.0,32.000000
-29,11,58,1626193513.0,32.000000
-29,11,57,1626193513.0,32.000000
-31,7,56,1626193513.0,32.000000
-27,11,61,1626193513.0,32.000000
-32,8,55,1626193513.0,32.000000
-28,10,57,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-29,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-31,9,56,1626193513.0,32.000000
-29,10,58,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-31,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,56,1626193513.0,32.000000
-30,9,56,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,9,57,1626193513.0,32.000000
-30,10,57,1626193513.0,32.000000
-30,10,57,1626193513.0,32.000000
-30,9,56,1626193513.0,32.000000
-31,9,57,1626193513.0,32.000000
-30,10,56,1626193513.0,32.000000
-30,10,57,1626193513.0,32.000000
-30,10,56,1626193513.0,32.000000
-31,10,57,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-30,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-30,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-30,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,55,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
-31,10,56,1626193513.0,32.000000
